,tweets_VBP
0,Have a ZIKA fetus? Don't abort it. Catholic priests will pay for it for life. https://t.co/ZZacvhzNxv
1,Hope the horses don't get bit by Zika Mosquitoes #Rio2016 https://t.co/Lon10nbHpP
2,Don't let mosquitoes ruin your summer fun! The best protection against #Zika and other mosquito-borne illnesses... https://t.co/twnhkGKbVy
3,Do not make #ZikaVirus spread! Don't miss the following website from #CDC ! Three week avoiding from #mosquitos . https://t.co/eKuWzI8kZR
4,Don't let the bad bug bite you! Check out the link for tips on how to protect yourself and family from #Zika.  https://t.co/LbLErIK1jh
5,Don't be a Mary. (or her hysterical friend)  #zika #repellent https://t.co/cDMeFA3umz
6,"Don't worry, if this doesn't get u, you'll all be drowned by #climatechange: Tempers flare RE #Miami #ZIka spraying https://t.co/mByqWDZCkM"
7,Are people taking necessary steps to protect against #Zika? (Poll) via@KaiserFamFound  https://t.co/QaqEQ3crkp #populationhealth @CMSGov
8,"Don't shun Florida over Zika, officials say https://t.co/3uesSVG59X https://t.co/BUV45yzQ6D"
9,Don't be a Mary. (or her hysterical friend)  #zika #repellent https://t.co/rBViGBSZXF
10,"Don't repeat CHIKV mistakes with ZIKV, Seiveright urges http://t.co/oW7ZGMaY6d"
11,"Don't repeat CHIKV mistakes with ZIKV, Seiveright urges - Latest News - http://t.co/NxXbJoA04d http://t.co/jqW4sbtYDe via @jamaicaobserver"
12,"Don't repeat CHIKV mistakes with ZIKV, Seiveright urges - Latest News - http://t.co/AUO7mAKtms http://t.co/E1ytlQHCe2 via @jamaicaobserver"
13,"Don't repeat #chikungunya mistakes with #Zikavirus, Seiveright urges http://t.co/jRXub1CeRB"
14,"Don't repeat CHIKV mistakes with ZIKV, Seiveright urges - Latest News - http://t.co/RxdJDfnExD http://t.co/dy6ffArYwg via @jamaicaobserver"
15,"Don't repeat CHIKV mistakes with ZIKV, Seiveright urges #vitaminstaken #jamericaninjamaica http://t.co/aR4ugdrEiT"
16,Have lived in Darwin where mozzie fog machines drove around spraying whole suburbs. #Zika has gone full retard.
17,"Don't quarantine people returning from #ZikaVirus regions, encourage them to wear insect repellent! Stop bites, lower local risk of spread"
18,"Don't blame mosquitoes, it is the hitchhiking viruses and parasites that are the real health risk! https://t.co/c8HSpfpRO1 #ZikaVirus"
19,"Don't share mosquitos. If you have to use one, use a sterile one. #ZikaVirus"
20,Don't let misinformation from MSM distract you from connecting the dots on the #Zika virus! #GM #Oxitec #Brasil #mosquitoes Google info!
21,Don't you love it when people release untested GM mosquitos into the environment (: #ZikaVirus
22,Are the Zika and the West Nile virus simply annoyances or something of serious concern? #Mosquitoes #Nuisance #Pest
23,Do you want to improve your knowledge of #mosquito repellents for travellers? Take this @BMJLearning module https://t.co/IQCzVYxLyh #Zika
24,Do you want to improve your knowledge of #mosquito repellents for travellers? Take this @BMJLearning module https://t.co/GUIrqkF9Yg #Zika
25,"Have to say this #abcDrBchat has shown just how much rsch/med/public are engaged. Also, unlike Ebola, no #Zika fear. Excellent discussion!"
26,"Do you think the U.S. government is doing enough in response to the spread of Zika? To vote, reply with: 'Yes' or 'No'"
27,Don't expect Zika mosquitoes to lie low for Rio; Colombia logs three deaths - The Japan Times https://t.co/c6ZX5SIDGN
28,Don't expect Zika mosquitoes to lie low for Rio; Colombia logs three deaths #colombia #bhive https://t.co/87L5jAARF1
29,Don't expect Zika mosquitoes to lie low for Rio; Colombia logs three deaths: RIO DE JANEIRO/BOGOTA/MIAMI – Ala... https://t.co/rPnRamB6l2
30,Have an amazing Puerto Rico vacation while protecting yourself from mosquito bites. https://t.co/8XHUXBFvQq https://t.co/DIvGcVtnD2
31,Think it's that shit mosquitos carry RT @comup: Da Fuck is the Zika virus ?....
32,Have to stay vigilant &amp; assume every mosquito is trying to Give you Zika.....
33,Don't worry travel to the #olympics will aid global spread of #zika - a drop in the ocean compared to usual activity https://t.co/SwZAlI9Tzx
34,Have to agree w the idea it won't stop #Zika spread https://t.co/H0kFTPe7jJ
35,Don't miss today's awareness event about the emerging mosquito-borne virus #ZikaVirus at 12-1 in the female theater https://t.co/OqSwGgtATu
36,Don't forget to spray your feet and ankles. Mosquitoes that carry the Zika virus have a string attraction to feet! https://t.co/FKzSXVzbbv
37,Don't get bit by mosquitos y'all!! Zika is real!!
38,Won't matter after the #Olympics when #Zika is spread across the globe. https://t.co/6qDl8JNxZY
39,Have to stay vigilant and assume every mosquito is trying to give you Zika Virus.   Night ya'll 😴
40,"Don't swim in the water, don't get bit by a mosquito, don't notice the depleted Rain Forrest. Everything's fine https://t.co/O7tF9NqKNQ"
41,Don't leave ur house without putting bug spray on. This #ZikaVirus is becoming bigger than #Ebola. Click on link: https://t.co/VhZEfnR2HM
42,Don't they have BIGGER concerns like iunno STOPPING TERRORISM and HALTING THE SPREAD OF THAT NEW ZIKA VIRUS?
43,Don't have surgery or make babies or have sex... Zika now said to infect the blood supply and spread via sexual tran https://t.co/xMYVgzEmNZ
44,"Don't forget, pay your insurance and get your right arm ready for a ZIKA virus Vaccine.. Or you could be smart and just say no. Choices....."
45,Don't have #surgery or make babies or have #sex. #Zika now said to infect the blood and spread via #sexual contact https://t.co/CuuaVxUbjq
46,Don't let mosquitoes ruin your trip! #Zika #KnowBeforeYouGo https://t.co/ZLOlPF4qct https://t.co/P975yHPFBQ
47,Have the invasive #mosquitoes responsible for #Zika virus been detected in your county? https://t.co/pFw0mPnkE2
48,Don't let #Trump's comments on women distract you from another urgent problem for women (&amp; their unborn) #ZIKA Spread the word not the virus
49,Do wear proper 'helmet' during Zina to prevent spread of Zika..  #eh https://t.co/89zOHLvY6E
50,Have to admire the stupidity South Carolina showed killing all its honey bees spraying for Zika despite all its cases being travel-related!
51,Don't let #Zika have a biting chance! Quick tips to prevent #mosquito breeding grounds: https://t.co/8exL19SRZ3! https://t.co/aacPuoiEJT
52,Have you ordered your @SquitoJuice Natural Mosquito Repellent yet? #Zika #mosquitoes https://t.co/w8BOzqFRwi https://t.co/OBlqR00tND
53,Don't forget: Fight mosquitoes w/ these simple steps: https://t.co/VTvXcPO9Uy (via @HealthyFla) #Zika #ZikaVirus
54,"Do you have tropical plants on your property? If so, they might be a breeding ground for #Zika carrying mosquitoes. https://t.co/cjvQ8KJIO2"
55,Don't wanna go inside .. But mosquitoes and zika.. Nerp
56,Don't let Congress abandon #Zika response. Make your voice heard now! #ZikaVirus #Mosquito #microcephaly https://t.co/sGLpPpSjiS via @ppact
57,Don't let your Government Spray Your Community 4 #Zika: B.C. community: #mosquito-fighting #garlic spray is working https://t.co/C27hakFLl1
58,"Have to respect golfers fears of Zika virus, plus it's really unlucky the Rio mosquitos only seem to want to bite golfers. #Olympics"
59,Wasn't Zika the name of that XBLA game with the spiral and the balls and the Aztec theme
60,"Don't like bats, but needed now! Devouring 1,000 Mosquitoes an Hour, Bats Are Now Welcome Guests as Zika Fears Rise https://t.co/bgWqd9jV3F"
61,Have you checked your home for areas of standing water? Read these tips and protect your family from the Zika Virus. https://t.co/2GezI388GP
62,Haven't bees been through enough?  Zika spraying kills millions of honeybees @CNN https://t.co/XXOUl0hcKE #Bees #Zika #insecticides #poison
63,don't say a word Zika spread fears as 'deadly' Hurricane Hermine pounds Florida:   Once H... https://t.co/uoIoJjgx6o RT #fks #wild#drugs
64,Have you heard about the millions of honeybees killed by the areal spraying for Zika mosquito's?… https://t.co/yeaD8yxkWO
65,Have you heard? Researchers have detected the Zika virus in three mosquito samples from a small area in Miami Beach. https://t.co/PKvm5xX1Ee
66,Have you heard? Researchers detected the #Zika virus in three mosquito samples from a small area in Miami Beach. https://t.co/omIXCsYSPN
67,Do you think it's a good idea to eradicate mosquitos ? #zika (retweet after vote)
68,Have you heard of the ZIKA Virus? The ZIka Virus is transmitted from the bite of an infected mosquito – Aedes... https://t.co/vTbJVUwDKu
69,Think about it. Mosquitoes didn't affect babies until researchers started genetically modifying them. https://t.co/qh6SSWk6da
70,"Have you heard the latest news, that the Zika Mosquito is getting Bigger and strong ! https://t.co/nuU56FHelg"
71,Don't help spread the threat of the #ZikaVirus! https://t.co/NEimuJVQ8k
72,"Have you heard about zika, a new mosquito-borne virus? Read more from @TheAtlantic. https://t.co/VBO2hsrynJ"
73,Don't panic when you read about the impact and spread of Zika virus. Just continue to learn as scientists/doctors... https://t.co/j1RnYA9HoB
74,Do you want Incredible Hulk mosquitos? Because that's how you get Incredible Hulk Mosquitos https://t.co/6bRPiCaqct https://t.co/C3th14FlIv
75,Have you seen the cool #Billboards in Brazildesigned to trap and kill Zika virus-carrying mosquitoes?  Check it... https://t.co/A05j2lnnZD
76,"don't be scared, take action and prevent mosquito bites! That's the WHO advice to combat zika as first case of birth defects found in PR"
77,Don't let the Govt. spray for Zika in your community: https://t.co/hwyesR7FhE
78,don't really care about zika but fuck mosquitos
79,Don't let cooler temperatures fool you. Do your part to reduce mosquito breeding grounds &amp; eliminate standing water: https://t.co/GO7RkJ7e3c
80,Are the Florida weather and the Zika mosquitoes gonna get along well together?
81,Don't fool with mother nature: Millions of bees dead after South Carolina sprays for #Zika mosquitoes https://t.co/xuzIrM5ZsM
82,"Don't get complacent, folks. Be diligent about #Zika &amp; #mosquito elimination. https://t.co/8Bf5JF3XKf"
83,"Do you have #Bromeliads in your yard? If you do, you could be breeding mosquitos. #Zika. Watch @ariodzernbc6 LIVE 5p https://t.co/84inNZNPc2"
84,Don't worry about Zika. It's a myth spread by the man. Let moquitos bite you. It helps your immune system. #BadPregnancyAdvice
85,Don't buy any product from the state of #SouthCarolina  simply because they carelessly killed off millions of bees for a fake #ZikaVirus
86,"Ain't it hilarious Mika &amp; Joe--that Trump doesn't like mosquitoes. But Senate Republicans do, since they won't fund Zika. #morningjoe"
87,"Do you have what it takes to protect your yard from the Zika virus? @HaleyKPRC gets expert advice, tonight at 10... https://t.co/V68E0VdW6J"
88,Do you have questions or concerns about the outbreak of the mosquito-borne #ZikaVirus? RSVP for next Friday's event: https://t.co/eHX2LsrKHk
89,Have you considered how #PokemonGO will help the zika virus spread?
90,Don't listen to them.  Don't go anyplace where there is evidence of Zika.  Insect repellant does not always work https://t.co/wbZMK7QQwK
91,Don't pay for Zika but pay for his ass -- makes sense  @SenateGOP  https://t.co/fxWCjthc8W
92,"Don't be a #Zika breeder, dump that standing water before it becomes a mosquito nursery. #Pasco #ZikaVirus https://t.co/cJDYvvCWOb"
93,"Are the #imwithher in FL so out of touch with the reality, they believe Hilly when she blames Rep for not funding Zika when Dems blocked it"
94,Don't let the Zika Virus infect your family. Get a proven mosquito trap that works @ https://t.co/7as6TsNb4T
95,Don't miss @SoniaGPandit from @MarylandDHMH discuss  how to protect you &amp; your family from #Zika https://t.co/fBJgxLf5vO
96,Do you like #zombies? 'Cuz this is how you get zombies.  https://t.co/IYwxduTI8V #ZikaVirus #mosquitoes https://t.co/9uG6eFGOWK
97,Have you checked this out? Learn what to do about Zika-carrying mosquitoes https://t.co/8iPIMX0DMh https://t.co/MlfTvt2hIe
98,"Don't forget to enjoy your Independence Day celebrations, outside as dusk, right when all the Zika-ridden mosquitos descend to feast."
99,"Don't forget to enter to win a FREE Mosquito Treatment valued at $75.00. Enter now - March 3, 2016. #zika https://t.co/MRp9X0BO1Z"
100,Do you think a gun will kill Zika say Congress to America
101,Don't frame #Zika as women's issue: 'Fighting Zika About Protecting #Pregnant Women'  https://t.co/jznhzwO8RU History suggests poor strategy
102,Are the Rio Olympics going to aid in the spread of Zika?  https://t.co/cFeZSUAhwB
103,Don't let your lawn become a haven for mosquitoes carrying the Zika virus! https://t.co/rlsizB9RvT
104,Don't let concerns over #Zika &amp; other mosquito-borne diseases keep you from enjoying the outdoors. Protect yourself! https://t.co/cUPtpxamIQ
105,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No'"
106,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [2/25]"
107,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [3/25]"
108,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [4/25]"
