,Unnamed: 0,tweets_VBG,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies,id
0,6353,Let’s Kill All the Mosquitoes https://t.co/DTLeCivAWi #UniteBlue https://t.co/BoHvsbQu3c,,,,,,,,,,,,693598315250786304
1,7503,Spraying Begins in Miami to Combat the Zika Virus https://t.co/Ct2vf0BUrH,,,,,,,,,,,,761424837986385921
2,1395,Fighting Zika in the US: The Battle Over GMO Mosquitoes - ABC News - https://t.co/a2zwOZdqNq via @ABC,,,,,,,,,,,,776726102542733312
3,11386,Mapping #Zika: #GIS powers mosquito surveillance and control https://t.co/wNphRMbVPv … via @GCNtech RT @QuantumSpatial,,,,,,,,,,,,751435760922947585
4,2751,Heading south? Protect yourself from #mosquitobites when travelling to the Caribbean. #chikungunya #dengue #zika https://t.co/aVjBqy63Mq,,,,,,,,,,,,700658986975150080
5,3723,"Staying away, don't spray me man. #Zika #MiamiRealEstate #SouthBchRealtor #StandingWater #SprayingZika #Wynwood https://t.co/z4lbN3FRul",,,,,,,,,,,,762628376154607616
6,7502,Spraying Begins in Miami to Combat the Zika Virus https://t.co/I1ID9CwrSI https://t.co/5JHjIWU0lW,,,,,,,,,,,,761422259936382976
7,9271,Probing a mosquito protein for clues in the fight against Zika https://t.co/GPbft7BFC7 #Health &amp; Medicine News -- ScienceDaily,,,,,,,,,,,,773931409719386113
8,7758,"Protect yourself from the buzzing threat of #Zika with important info from UTMB's Dr. Weaver via, @TechTimes_News:  https://t.co/BOg8s3gpC6",,,,,,,,,,,,690239595422826496
9,9550,Forget the bug spray... gene editing could be the solution to mosquito-borne diseases like Zika... https://t.co/oiCdhtDSRX #mosquito #zika,,,,,,,,,,,,700028300970700801
10,7195,"Wrote a haiku about the Zika virus:  Borderless outbreak Moms afraid, but all yall chill-- Mosquitoes goin' down",,1.0,,,,,,,,,,763435153842659328
11,2596,Take Back your Yard with Mosquito Protection provided by Bug Busters USA  Keep up to date with Zika Virus CDC... https://t.co/CeQ72Kk9gT,,,,,,,,,,,,728226305490067456
12,5811,Protect yourself from mosquito bites - and the #Zika virus. 10 easy ways to stay safe. https://t.co/PuiHEiAG0s https://t.co/0gOjtZ43LC,,,,,,,,,,,,765974703202852864
13,7974,Mapping city hotspots for Zika mosquito: 'Never will bite' soap among winning ideas at Johns Hopkins Hackathon  https://t.co/TEKbC94sLy,,,,,,,,,,,,720249646803771393
14,6173,Stopping Zika: Attacking mosquitoes from within A bacteria called Wolbachia that lives inside many insects may be … https://t.co/gATxj1wgcM,,,,,,,,,,,,707206456517521409
15,1926,Protect yourself against Zika Virus with natural repellent ideas https://t.co/2AXMdlZeWz #MUIPR #MUIDailynews,,,,,,,,,,,,730799132479242240
16,10558,Fighting Zika in the US: The Battle Over GMO Mosquitoes - ABC News - https://t.co/p3EUoplsjJ via @ABC,,,,,,,,,,,,751823026333753344
17,9288,Probing A Mosquito Protein For Clues In The Fight Against Zika https://t.co/hRpvjJ9ntr,,,,,,,,,,,,774006640207167490
18,9554,Protecting women and children in Zika-affected countries https://t.co/4ax66DKohX,,,,,,,,,,,,700040775405404160
19,4436,Paranoid about this one very sly #mosquito guy flying around in my room and biting me in my sleep. #Zika #bugproblems #hebitme #die,,1.0,1.0,,,,,,,,,770844930298306560
20,10487,Working under the threat of Zika:How construction firms can protect employees from the virus https://t.co/KrshPkmvAc https://t.co/CGxbOgIdRT,,,,,,,,,,,,780474773071626240
21,2192,Spraying for #Zika continues in #Broward and #Miami-Dade – WSVN 7News | #Miami #News https://t.co/c9ZIQYeXSr,,,,,,,,,,,,775513915895713792
22,7375,"Spraying by air for mosquitoes, Florida steps up Zika fight: DORAL, Fla. (Reuters) - Florida began aerial spr... https://t.co/xfQIbpLkF3",,,,,,,,,,,,761334957474127872
23,2063,"Tell the FDA what you fear more: Zika, or GMO mosquitoes? - Wink News https://t.co/969YMQZqLL",,,,,,,,,,,,730970741303185410
24,9524,Protect your family from Zika Virus with ecol friendly products found only in Galleon.ph @galleonph https://t.co/hEhY4jo8to,,,,,,,,,,,,699884061074939904
25,10564,"Fighting Zika in the US: The Battle Over GMO Mosquitoes,we already have  genetically modified organisms called congress",,,,,,,,,,,,751866899387080704
26,2108,Eradicating mosquitos entirely as a species? Not everyone thinks this is a sound strategy by @lynnepeeps @undarkmag  https://t.co/vV6sJb02zQ,,,,,,,,,,,,731238126082002945
27,2986,Breaking: #Zika: 4 cases in #southflorida likely transmitted by mosquitoes....according to Gov. @WPBF25News https://t.co/xnxOO7ng3h,,,,,,,,,,,,759021744564822016
28,1391,Please RT? #travel #traveller Travel in the Time of Zika: How to Avoid Mosquitos on the R https://t.co/fr4KGX4amy https://t.co/crQN5N4AAW,,,,,,,,,,,,776712328322613248
29,8146,Spraying and poisoning the citizens of The United States because of the 'Zika' scare.  What a crock of... https://t.co/rMmJFs7OJR,,,,,,,,,,,,762111865358954496
30,1189,Controlling Zika mosquitoes may be 'lost cause' via @neutralnews #YourNewsTweet https://t.co/xyuV3eF3QE' https://t.co/bP0RBmV75P,,,,,,,,,,,,727303597034184704
31,11179,"Controlling zika: zap bugs with radiation: The fight against the Aedes aegypti mosquito, carrier of the Zika, ... https://t.co/31nqvACSjS",,,,,,,,,,,,697218077218344960
32,9493,Ending Zika will require a relentless assault on mosquitoes. https://t.co/upyrCfzecU via @BV,,,,,,,,,,,,694992533735215104
33,1188,Controlling Zika mosquitoes may be 'lost cause': Standard tools for killing mosquitoes don't work against the… https://t.co/YSTdKt2w60,,,,,,,,,,,,727302683967651841
34,4329,Prevent the spread of #Zika by preventing mosquito bites. Get @MilitaryHealth resources to protect yourself: https://t.co/nE7PnfRFxz,,,,,,,,,,,,744847532899991552
35,6988,Breaking: Study finds that #Fresno is among 50 U.S. cities where #Zika-carrying mosquito could survive in summer: https://t.co/TQy6HEifkA,,,,,,,,,,,,711918987492196353
36,7852,Do you know the most effective ways to protect yourself from #Zika? https://t.co/1Fa3JVn32r,,,,,,,,,,,,713106949089452032
37,4925,Producing 60 million male mosquitoes a week: A Biotech Evangelist Seeks a Zika Dividend https://t.co/zPXBtuPDye,,,,,,,,,,,,706130076644065280
38,1720,Wonder if it would be okay to aim at Zika mosquito's that way? https://t.co/LAwkzr3N00,,,,,,,,,,,,773251236774735873
39,8630,Check out HSHS St. John's event this Tuesday. Zika: Fight the Bite will focus on the best ways to protect you and... https://t.co/NhCEc4n5eV,,,,,,,,,,,,774268481743249408
40,5960,Use this field guide to identify mosquitoes that carry the Zika virus https://t.co/kimhZU63al,,,,,,,,,,,,760948873426767872
41,3750,"Keeping mosquitoes out of your home can help prevent Zika, dengue, and chikungunya.  #FightTheBiteHI  #StopZika https://t.co/40PSC3Tu9s",,,,,,,,,,,,762702667777015808
42,10265,Take steps now to protect your family against Zika virus and other mosquito-borne diseases: https://t.co/1LCro8aIvW https://t.co/tvcncklmix,,,,,,,,,,,,735862425677746178
43,9780,Call on El Salvador to protect #reprorights in the face of #ZikaVirus @ReproRights https://t.co/23wBPGQdZj,,,,,,,,,,,,694590886433406976
44,3730,Coming up on @TexasStandard Mosquitoes and Money. Lots of money. We talked with @jslovegrove abt what's happened 2 millions meant for #Zika,,,,,,,,,,,,762639537172389890
45,8037,Fighting Zika Mosquitos with Tires https://t.co/sccKfZFzcu #MGWV #TFB #F4F,,,,,,,,,,,,718125862755807233
46,1233,Controlling Zika mosquitoes may be 'lost cause' - https://t.co/HMAu1KgHWz https://t.co/0BAwApvQbR https://t.co/3aZlgLMO6w,,,,,,,,,,,,727467572619177984
47,6565,Protect your loved ones against Zika Virus - Prevention better then cure https://t.co/1pKj26scio,,,,,,,,,,,,770323747521703936
48,2653,hanging glue traps near water sources could help with the zika mosquito situation,,1.0,,,,,,,,,,700376537011347456
49,6704,Getting Prepped for Mosquito Season (&amp; Zika) – 42316  https://t.co/8M0KFtBzbH  #survival #preppers #prepping #shtf,,,,,,,,,,,,739324903963262976
