,tweets_VBZ
390,Is a perfect storm of Zika virus conditions coming to the Gulf Coast? #ZikaVirus #Zika https://t.co/D524WMYHL1 https://t.co/aPrH83NRM4
1190,Is #climatechange driving the spread of zika virus?https://t.co/lIAuFy98K2 #ZikaVirus #climatescience #GlobalWarming https://t.co/rgeuykxPlE
933,Does no one watch @SyFy movies?! #BadIdea RT FL cleared to release genetically modified mosquitoes in Zika fight https://t.co/Qru40rSD0e
745,Is #Coffee an Effective Protective Measure Against Mosquitoes and Zika? https://t.co/TsSFStWDZy
12,Is there a need for #repellent apparel? https://t.co/atoZU3foOT #zika https://t.co/9NRqutz8j2
721,Is it wise keeping Olympic in Brazil BBC News - Zika virus: Outbreak 'likely to spread across Americas' says WHO https://t.co/5TjXwqqbk8
439,Is Zika virus in the UK? mosquitoes are coming over in car tyres as health chiefs warn of 'explosive pandemic' https://t.co/nHhc0XMVWD
401,Is Felicity the one creating the mosquitos to propagate the Zika virus? EVIL WOMAN! #FelicityEXPOSED
590,Is #Zika spraying in #Miami worse than Its #infection?pesticides linked 2 #Cancers &amp; all types of harmful illnesses https://t.co/ujBwWQXC0d
1114,Is The #Zika #Virus Outbreak Related To #GMO #Mosquitoes? https://t.co/FpNYOzLm4j @honeycolony pl RT
267,Is fighting Zika with altered mosquitoes a public health project or a business? https://t.co/XKQKI6VFGD
470,Is the #Zika Spraying in #Miami Safe? https://t.co/fExRNvACG6  #HealthNews https://t.co/t1qGbBlBg4
358,"Is DEET safe for pregnant women? - Zika has reached mosquitoes in the U.S., and many pregnant women are wonderi...… https://t.co/HHdVvRXKFy"
315,"Is there a vaccine against Zika? And how does it spread? Many in the U.S. don't know, a new poll finds.... https://t.co/Dhwlgn9pK9"
574,Is Zika coming to a city near you? Check out this map:  #Zika #Mosquitoes – Is Zika coming to a city near you?... https://t.co/OpgYuJQDBr
122,Has the spread of #Zika affected your summer travel plans? @CronkiteNews wants to hear from you. https://t.co/0TL41kahcg
342,Is protecting babies from Zika more important than giving Planned Parenthood more money? Apparently not. Disgusting. https://t.co/LlTMgt7wan
848,Is the U.S. prepared to handle the demands for #Zika virus testing when mosquito season hits?
819,Is the use of GMO mosquitoes the best option to control the #Zika epidemic? Good read by @DrJudyStone https://t.co/MPiyjdtoRj
203,Is Zika Virus In Mexico? These Areas Are More Protected From The Virus - Romper https://t.co/LOXT3Tpqi7
257,Is the #zikavirus cause by mosquitos? https://t.co/n2ABS65zCo
438,Is El Niño helping spread Zika?: CNN meteorologist Derek Van Dam explains the effects of El Niño and how its… https://t.co/39S6inAIoM #cnn
237,Is it right to launch mass #chemical warfare on #Zika mosquitoes? - the guardian https://t.co/Bn4Lg9frTR
105,does hurricane #Hermine have a chance of spreading the #ZikaVirus mosquitos from Florida all across the east coast? @cnn #sitroom #msm ?
949,Is the teknique the same with the mosquitos sprayed to fight against Zika? https://t.co/W3NTBj4PT9
1089,Is the #zika virus something that occurs when a mosquito bites your computer?
506,Is the U.S. prepared for the mosquito-borne #Zika virus? A report from CNN: https://t.co/IgkkfiAoqe
550,Is The Zika Virus Spreading In Florida? Hurricane Expected To Increase Mosquito Outbreak https://t.co/GIC47o96eN
708,Is this the new plague ? Zika virus: How genetic technology could help stop its spread https://t.co/Z3QvP1xFSa
686,IS THE ZIKA VIRUS IN BRAZIL BEING SPREAD BY GENETICALLY MODIFIED MOSQUITOES FUNDED BY BILL GATES? | Eugenics  https://t.co/gR9TyGmCtG
1148,"Does the WHO really want to stop zika, malaria, &amp; other mosquito-borne deceases? DDT fact vs fiction - https://t.co/PaOg2PpqbI #junkscience"
481,Is there a certain type of insect repellent that is recommended for pregnant women to prevent zika #atozika
1167,"Is U.S. ready for Zika fight?: If you're a mosquito and you value your life, stay away from Fort Myers, Florida. https://t.co/fFZzUSciW6"
140,IS THE ZIKA VIRUS IN BRAZIL BEING SPREAD BY GENETICALLY MODIFIED MOSQUITOES FUNDED BY BILL GATES? https://t.co/d4YwWDdZvB
381,Is a perfect storm of Zika virus conditions coming to the Gulf Coast? https://t.co/ipOCPzrqpw https://t.co/ZajObXr8t9
375,Is The Zika Virus Outbreak Related To GMO Mosquitoes? https://t.co/8dKrmrfsE7 https://t.co/BvGUgl8OAs
1072,Is mosquito killing larvacide to blame for microcephaly?  https://t.co/DMzCY47fEq
992,Is El Nino helping to spread Zika? - https://t.co/vsJX2e18zE https://t.co/04NWfUaqsg
971,Is it wrong that @realDonaldTrump just tweeted his followers to spread the news like the #ZikaVirus? not linking :P https://t.co/G6YXq1Hynf
1162,Is this hurricane gonna bring up the ZIKA mosquitoes north from Miami?
339,Is it possible that another species of mosquito could be involved in the #Zikavirus epidemic? #ZikaChat @CDCgov @modhealthtalk
272,Is the #DC monument really full of Zika mosquitoes? Read more to find out #ZikaVirus https://t.co/bBVNjcBp8v via @thedailybeast
117,Is anyone else worried that the Olympics could spread the Zika virus internationally?
897,Is insecticide sprayed to fight Zika a risk for people and wildlife? – Miami Herald https://t.co/iH2yiFoVZ7 #miami
1029,Does this mean that mosquito control is not enough &amp; increase need for #Zika vaccine? @IVACtweets @NIAIDNews https://t.co/BbK5y70ZaH
511,Is no-one else a little worried about what is being used to kill the mosquito's spreading #ZikaVirus #DDT
379,"is earth real, or the dream product of some retarded zika-infected tween?"
81,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/F6PU2A7cEk”
0,Does the Zika virus that persists in mosquito eggs remain infectious? @CDCgov #WellnessWed
948,Does this guy trips and releases Zika carrying mosquitos you can bet Congress would pass funding real quick!
945,IS IT SAFE TO USE MOSQUITO #Zika REPELLENT WHILE PREGNANT? Yes. When spending time outside use mosquito repellent https://t.co/Iy411ZmCSZ
28,Is the U.S. prepared for the mosquito-borne Zika virus? A report from CNN: https://t.co/4hymf81wwX
582,Is a mosquito a mosquito? Are there species of them that are specifically known to be zika infected or seem to be? @DrRichardBesser
576,Is #DEET Safe For #PregnantWomen? #Zika Is Worse &amp; Bug Spray Is Necessary https://t.co/wC7BXWUOMt https://t.co/c8FWOrBx8S
285,Is insecticide sprayed to fight Zika a risk for people and wildlife? https://t.co/MGUz8D8iwp
757,Is the machine going to protect against #zika while they are ducking hash tags running terrified from twitter they cannot protect one grain
8,Is there something about golfers that Zika carrying mosquitos find irresistible ? Must be the Pringle jumpers &amp; Plus Fours...
979,Is it time to wipe #mosquitos off the face of the earth? https://t.co/wWb6KX9DJ2
398,Is El Nino helping to spread Zika?
1033,Is The Zika Virus Outbreak Related To GMO Mosquitoes? https://t.co/cKtB61EUmE @honeycolony
