,tweets_VBN
1099,Confirmed: First U.S. Zika Cases by Mosquitoes https://t.co/8P5latJbAT https://t.co/EiXxUArfGt
165,Retweeted https://t.co/5rGzsNDY1U (@TIME):  Florida finds Zika virus trapped in state's mosquitoes for first time... https://t.co/dltGLdmUkX
973,Dreaded Zika virus not found in mosquitoes in Bay Area... https://t.co/bX7CY2OpSP #zikavirus
338,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees - https://t.co/n935OLLI55 https://t.co/ZQEvT8wrG5"
1106,Confirmed: Four infected by mosquitoes outside 'Zika zone' https://t.co/IqYyQZWobR
514,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees: Officials in Dorchester Cou... https://t.co/TKVjkbMEcD via @CarlosTudor1035"
1547,Retweeted BBC Breaking News (@BBCBreaking):  The @WHO sets up Zika 'emergency team' after 'explosive' spread of... https://t.co/CcYOXod1Gu
2730,"Infected by #Zika virus, #Utah resident drops dead. https://t.co/ePiFYacBmV Dropping dead of mosquito bites, just like old days. Thanks, GOP"
2143,"Worried about Zika, West Nile? Expert advice to prevent mosquito bites https://t.co/JI41bUOiKC"
862,"Planned Parenthood Impasse Holding Up CR, #Zika, Democrats Say - Morning Consult https://t.co/GJgISkkZqo"
916,Retweeted CDC (@CDCgov):  #Zika is a disease spread primarily through the bite of an infected Aedes aegypti or... https://t.co/1wQkDNe1kd
1682,"Given 'theoretical' risk, CDC urges doctors to prevent Zika spread during labor, delivery https://t.co/gdtDj2c8Qd via @Reuters #alwaysAMT"
1950,Linked to Zika because they sprayed for mosquitos with organophosphate. The outcome is microcephaly! https://t.co/xMNJBNMZOO
954,'Bugged mosquitoes' stop Zika spread - BBC News https://t.co/sCnGlACpSb
76,Irradiated mosquitoes to help zap Zika's power: The atmosphere inside the laboratory on the out... https://t.co/n85tYRw3K2 (via GMA News)
1904,Projected Zika Virus Importation After Travel to the Olympics https://t.co/oInSXIOyIX #travel #Brazil
2046,Concerned about Zika virus?  Learn how to protect yourself and your family. https://t.co/n7zLB9STxe
2721,Headed outside this weekend? Don't forget the bug spray for a bite-free weekend. https://t.co/q8wlOP9Zmo #zika #Mosquito #dhec #mosquitoes
2718,Worried about #Zika? Check out everything you need to know about #mosquitoes https://t.co/VPBT21lNQR
350,Concerned about #Zika? Take these steps to protect yourself - https://t.co/JZQ2LTIHnq #MosquitoSeason https://t.co/42tuYm6VjN
82,Irradiated mosquitoes to help zap Zika's power   https://t.co/XWajr29iVF https://t.co/DhjezM2Udi
960,Worried about #Zika or mosquito-borne illnesses? Consumer Reports say these are the top insect repellents- https://t.co/aqXLSWJbYx #LowellMA
2763,Worried about mosquitoes spreading #zika? Repel them naturally with #essential oils. See page 103. https://t.co/k4qkPLi1Hi
