,tweets_pronouns
3313,Not all mosquitoes carry #Zika--learn more in our health update:   https://t.co/iXWRsRfuzM https://t.co/w81Rr5SFqp
21173,My dad ambushed me with the worst smelling bug spray because he just found out Zika is in FL omg
23418,Zika in PR won't stop me... #livingontheedge #gotmybugspray #lowkeyscaredtho
33087,So you want me to believe mfs in Ohio getting zika virus which comes from mosquitos and know for a fact mosquitos ain't even out yet?! 🙄
3342,"#ZikaVirus found in 2nd mosquito  that ranges as far north as #ME &amp; #MN, @CBSNews rpts: https://t.co/xRyPHm5uPk https://t.co/twlpIftNBn"
7925,"Mosquitoes carrying the Zika virus in the states? If you need me, I'll be here --&gt; 🏠"
774,"Living in FL is like Mosquito Russian Roulette. I may have Zika, Chikengunya, malaria, dengue? I must live 2 vote #BernieOrBust 😱"
28553,Here's why we don't have a vaccine for Zika (and other mosquito-borne viruses) https://t.co/GykvAqwNTX https://t.co/e64l2CGXo0
18930,SOME WHITE DEVIL MOSQUITO TRIED 'INFECTING' ME WITH THE ZIKA NOT TODAY SATAN
8140,Florida governor: '4 people in our state likely have the Zika virus as a result of a mosquito bite': Thomson ... https://t.co/o6Ch84qW4c
3533,NO cases of #ZikaVirus in our county. The best protection from mosquito-borne illness is prevention. #FightTheBite https://t.co/b4QAcMuQ8o
13176,"Mosquitos drove me from the lake. No top water bite, but a few roll ups on my frog. Too scared of Zika to stay out. Now, last night's #VSL!"
26468,I swear imma get Zika from all these damn mosquitoes
4646,"Spraying to try and stop Zika is so outdated. We should be, instead using this as a way to fund and find out have... https://t.co/OsAqO83NN0"
26157,PS @memebusting Finally!  After all that #ZikaVirus #news: A #Mosquito we all can LOVE! ;) https://t.co/wi9uUKWvh8
31934,#Zika Spread 'It's Our Own Fault' -#WHO chief. #Mosquitoes https://t.co/NvF8PkwfEt #Animals https://t.co/kEjErQGaIn https://t.co/IRkNG26rYT
28062,If I get Zika wunna know a mosquito bite me ain't no action over here 😢
19104,Xiao scared of the zika virus because I'm always so prone to mosquito bites
18513,"Mosquito Season Means Zika Season, US Experts Warn https://t.co/65RjqvdcTt 'anything we don't do now, we will regret not having done later'😕"
29094,@What_Robyn_What I try to avoid them at all costs. Basically treat them like a mosquito with Zika
31784,How mosquitoes with ‘self-destruct’ genes could save us from #Zika virus - The Washington Post https://t.co/JDdtEZMFeG
4059,We must protect pregnant women from the Zika virus https://t.co/xIp7PghTm8
